,2009.repayment.3_yr_repayment.completers_rate,2009.repayment.3_yr_repayment.noncompleters_rate,2009.repayment.7_yr_repayment.completers_rate,2009.repayment.7_yr_repayment.noncompleters_rate,2009.repayment.repayment_cohort.3_year_declining_balance,2009.repayment.repayment_cohort.7_year_declining_balance,2010.repayment.3_yr_repayment.completers_rate,2010.repayment.3_yr_repayment.noncompleters_rate,2010.repayment.7_yr_repayment.completers_rate,2010.repayment.7_yr_repayment.noncompleters_rate,2010.repayment.repayment_cohort.3_year_declining_balance,2010.repayment.repayment_cohort.7_year_declining_balance,2011.repayment.3_yr_repayment.completers_rate,2011.repayment.3_yr_repayment.noncompleters_rate,2011.repayment.7_yr_repayment.completers_rate,2011.repayment.7_yr_repayment.noncompleters_rate,2011.repayment.repayment_cohort.3_year_declining_balance,2011.repayment.repayment_cohort.7_year_declining_balance,2012.repayment.3_yr_repayment.completers_rate,2012.repayment.3_yr_repayment.noncompleters_rate,2012.repayment.7_yr_repayment.completers_rate,2012.repayment.7_yr_repayment.noncompleters_rate,2012.repayment.repayment_cohort.3_year_declining_balance,2012.repayment.repayment_cohort.7_year_declining_balance,2013.repayment.3_yr_repayment.completers_rate,2013.repayment.3_yr_repayment.noncompleters_rate,2013.repayment.7_yr_repayment.completers_rate,2013.repayment.7_yr_repayment.noncompleters_rate,2013.repayment.repayment_cohort.3_year_declining_balance,2013.repayment.repayment_cohort.7_year_declining_balance,2014.repayment.3_yr_repayment.completers_rate,2014.repayment.3_yr_repayment.noncompleters_rate,2014.repayment.7_yr_repayment.completers_rate,2014.repayment.7_yr_repayment.noncompleters_rate,2014.repayment.repayment_cohort.3_year_declining_balance,2014.repayment.repayment_cohort.7_year_declining_balance,2015.repayment.3_yr_repayment.completers_rate,2015.repayment.3_yr_repayment.noncompleters_rate,2015.repayment.7_yr_repayment.completers_rate,2015.repayment.7_yr_repayment.noncompleters_rate,2015.repayment.repayment_cohort.3_year_declining_balance,2015.repayment.repayment_cohort.7_year_declining_balance,school.name
10,0.7906976744,0.5102880658,,,0.56381798,,0.7130434783,0.415274463,,,0.4512067156,,0.5966386555,0.3427947598,,,0.3719806763,,0.5266666667,0.3367158672,,,0.3598055105,,0.4375,0.3369820172,0.722222222,0.505449591,0.3461265103,0.548140044,0.4426229508,0.3243243243,0.719298246,0.46572104,0.3335463259,0.495833333,0.464,0.2987606001,0.67826087,0.414686825,0.3219293326,0.443804035,Saint Johns River State College
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinellas Technical College-Clearwater
12,0.7741935484,0.5181818182,,,0.6354679803,,0.7340425532,0.5130434783,,,0.6124401914,,0.67,0.4680851064,,,0.5518672199,,0.6513761468,0.4013605442,,,0.5078125,,0.6575342466,0.4265734266,0.712765957,0.63963964,0.5432525952,0.673170732,0.6107784431,0.4555555556,0.736263736,0.634782609,0.530259366,0.679611651,0.5811518325,0.3367139959,0.711340206,0.589041096,0.4049707602,0.637860082,Polk State College
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emily Griffith Technical College
14,0.7796610169,0.6025841817,,,0.6358142494,,0.7171381032,0.5360160966,,,0.5712896954,,0.6774193548,0.4790818215,,,0.5205038079,,0.674907293,0.4584398977,,,0.5029210058,,0.6319148936,0.4279181185,0.821374046,0.633730835,0.4625813449,0.667966574,0.6051969824,0.4086053859,0.763909774,0.585213468,0.4385204082,0.618725324,0.5741895262,0.400651058,0.729624838,0.562905318,0.4296736524,0.596318382,Front Range Community College
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Wright Institute
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Jefferson School of Law
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
18,,,,,0.4,,,,,,0.5869565217,,,,,,0.65625,,0.5,0.4,,,0.4683544304,,0.5263157895,0.3846153846,,,0.4901960784,0.447368421,0.5813953488,0.3928571429,,,0.5350877193,0.625,0.5384615385,0.325,,,0.4661016949,0.594202899,The Salon Professional Academy-Grand Junction
19,0.8431372549,0.5421095666,,,0.585143658,,0.7135416667,0.4799672935,,,0.5116607774,,0.6338028169,0.4335511983,,,0.4677904877,,0.6587537092,0.4206111444,,,0.4606181456,,0.6932989691,0.4271334792,0.85046729,0.584129317,0.4657687991,0.62031746,0.698989899,0.4341133005,0.726851852,0.536337209,0.4691423991,0.56218593,0.6545138889,0.4356461181,0.674050633,0.521367521,0.463956883,0.547632009,Arapahoe Community College
