,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
14,1,3,12,5,3,1,8055.0,0.1891,1,8999,33,1,Colorado Mountain College,1,1,CO,2291,0
15,1,18,13,7,4,3,7516.0,1.0,1,8480,12,1,University of Bridgeport,1,2,CT,16956,0
16,1,18,12,7,4,3,6258.0,0.6133,1,7781,12,1,Columbus State University,1,1,GA,6390,0
17,1,12,12,7,3,2,5229.0,0.6393,1,5169,32,1,Gordon State College,1,1,GA,2094,0
18,1,5,4,2,2,1,7588.0,0.2227,2,4544,21,1,Southwestern Illinois College,1,1,IL,3274,0
19,1,16,12,13,4,3,8410.0,0.7944,1,11339,41,1,University of Idaho,1,1,ID,8766,0
0,16,18,9,7,4,2,7835.0,0.5041,1,4602,12,1,South University-Savannah,1,3,GA,13208,0
1,1,24,18,0,4,4,6525.0,0.6538,1,12735,11,1,Interdenominational Theological Center,1,2,GA,22506,0
2,1,18,14,15,4,3,8118.0,0.9634,1,10772,12,1,Mercer University,1,2,GA,16361,0
3,1,3,3,1,2,2,6802.0,0.4588,2,4295,13,1,Black Hawk College,1,1,IL,1751,0
4,1,3,3,1,2,2,5689.0,0.4498,2,6585,33,1,College of Southern Idaho,1,1,ID,2029,0
5,1,-3,-2,-2,1,1,,,2,6830,11,1,The Creative Circus,1,3,GA,20909,0
6,1,23,11,10,3,3,3837.0,1.0,1,4179,41,1,Truett McConnell University,1,2,GA,8590,0
7,1,9,11,12,3,3,6079.0,0.6378,1,8595,43,1,Young Harris College,1,2,GA,9379,0
8,1,16,15,9,4,3,9731.0,0.4078,1,15853,21,1,Nova Southeastern University,1,2,FL,25764,0
9,1,3,12,5,3,2,6148.0,0.4129,1,4067,13,1,College of Central Florida,1,1,FL,1219,0
10,135,28,6,10,3,2,5511.0,0.1042,1,2731,21,0,ITT Technical Institute-Tampa,0,3,FL,15966,0
11,1,-3,-2,-2,1,1,,,2,10341,21,1,Manatee Technical College,1,1,FL,1846,0
12,1,-3,-2,-2,1,1,,,3,12589,41,1,Traviss Technical College,1,1,FL,2400,0
13,3,22,6,5,4,3,6758.0,1.0,1,4386,21,0,Trinity International University-Florida,1,2,FL,12760,0
14,1,19,10,9,4,3,7085.0,0.9526,1,8396,11,1,Jacksonville University,1,2,FL,13352,0
15,1,12,12,5,3,2,5594.0,0.4291,1,4441,41,1,Northwest Florida State College,1,1,FL,1865,0
16,1,19,13,13,4,3,7400.0,1.0,1,8191,13,1,Palm Beach Atlantic University,1,2,FL,16601,0
17,1,-3,-2,-2,1,1,,,2,4727,21,1,Miami Lakes Educational Center and Technical College,1,1,FL,1266,0
18,13,14,6,10,3,1,4956.0,0.4255,1,5495,13,0,Lincoln College of Technology-West Palm Beach,0,3,FL,14059,0
19,1,5,9,5,3,2,5085.0,0.3561,1,3829,22,1,Lake-Sumter State College,1,1,FL,1976,0
0,1,-3,-2,-2,1,1,,,3,1959,21,1,Dawn Career Institute LLC,1,3,DE,4679,0
1,1,17,14,10,4,3,6997.0,0.5925,1,7785,11,1,Clark Atlanta University,1,2,GA,16554,0
2,1,6,9,5,3,2,4233.0,0.5466,1,4034,11,1,Atlanta Metropolitan State College,1,1,GA,1587,0
3,1,22,11,11,4,3,3940.0,0.9929,1,5250,31,1,Fort Valley State University,1,1,GA,3297,0
4,1,2,9,7,3,2,5851.0,0.505,1,6334,13,1,College of Coastal Georgia,1,1,GA,2186,0
5,1,18,10,11,4,3,10047.0,1.0,1,8558,21,1,St Thomas University,1,2,FL,17249,0
6,1,22,11,14,4,3,7385.0,1.0,1,8684,21,1,Covenant College,1,2,GA,14553,0
7,1,23,7,7,3,2,6700.0,,1,12226,11,1,Bauder College,0,3,GA,19891,0
8,1,2,3,1,2,1,4973.0,0.4542,2,5353,12,1,Augusta Technical College,1,1,GA,1494,0
9,1,9,1,4,2,2,3591.0,0.76,2,4708,32,1,Andrew College,1,2,GA,6304,0
10,1,2,3,1,2,1,4727.0,,2,4879,13,1,Georgia Northwestern Technical College,1,1,GA,1830,0
