,school.branches,school.carnegie_basic,school.carnegie_size_setting,school.carnegie_undergrad,school.degrees_awarded.highest,school.degrees_awarded.predominant,school.faculty_salary,school.ft_faculty_rate,school.institutional_characteristics.level,school.instructional_expenditure_per_fte,school.locale,school.main_campus,school.name,school.operating,school.ownership,school.state,school.tuition_revenue_per_fte,school.under_investigation
10,8,,,,0,0,,,2,,,0,Computer Career Center-Las Cruces,1,3,NM,,0
11,5,,,,0,0,,,3,,,0,CC's Cosmetology College-Texarkana,0,3,AR,,0
12,2,,,,0,0,,,3,,,0,Make-up Designory,1,3,NY,,0
13,4,,,,0,0,,,3,,,0,Cincinnati School of Medical Massage,1,3,OH,,0
14,4,10.0,1.0,3.0,2,2,5947.0,0.5667,2,8017.0,21.0,0,Galen College of Nursing-Cincinnati,1,3,OH,14458.0,0
15,1,-3.0,-2.0,-2.0,1,1,,,3,950.0,21.0,1,Academy of Esthetics and Cosmetology,1,3,CA,2976.0,0
16,1,-3.0,-2.0,-2.0,1,1,,,3,7137.0,11.0,1,San Francisco Institute of Esthetics & Cosmetology Inc,1,3,CA,13534.0,0
17,1,19.0,6.0,5.0,4,3,,0.0,1,1052.0,21.0,1,Aspen University,1,3,CO,4949.0,0
18,1,26.0,18.0,0.0,4,4,4917.0,,1,7750.0,23.0,1,Institute of Taoist Education and Acupuncture,1,2,CO,12816.0,0
19,1,-3.0,1.0,4.0,2,1,4742.0,0.5,2,3940.0,21.0,1,Orion College,1,3,FL,8909.0,0
0,1,-3,-2,-2,1,1,,,3,4843,11,1,Tricoci University of Beauty Culture-Chicago NW,1,3,IL,11781,0
1,1,-3,-2,-2,1,1,,,3,5486,12,1,Tricoci University of Beauty Culture-Peoria,1,3,IL,11706,0
2,1,-3,-2,-2,1,1,,,3,6195,12,1,International Cosmetology Academy,1,3,MI,6481,0
3,1,-3,-2,-2,1,1,,,3,1350,22,1,French Academy of Cosmetology,1,3,MI,7262,0
4,1,24,18,0,4,4,4780.0,0.75,1,12079,21,1,Urshan Graduate School of Theology,1,2,MO,5719,0
5,1,31,18,0,4,4,9692.0,0.3909,1,7579,11,1,Charlotte School of Law,0,3,NC,35258,0
6,1,-3,18,0,4,4,,,1,1631,13,1,Daoist Traditions College of Chinese Medical Arts,1,3,NC,16260,0
7,1,-3,-2,-2,1,1,,,3,2113,21,1,Total Image Beauty Academy,1,3,NJ,4104,1
8,1,-3,3,4,2,2,5312.0,0.4921,2,3663,21,1,Jersey College,1,3,NJ,14986,0
9,1,-3,-2,-2,1,1,,,3,1811,23,1,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,1,3,NY,8178,1
10,2,-3,-2,-2,1,1,,,3,12385,11,1,Aveda Institute-Columbus,1,3,OH,17698,0
11,2,-3,-2,-2,1,1,,,3,4215,21,1,Paul Mitchell the School-Cincinnati,1,3,OH,8813,0
12,2,-3,-2,-2,1,1,,,3,2671,13,0,Fortis College-Dothan,1,3,AL,7566,0
13,4,10,1,3,2,1,3877.0,0.2174,2,2699,12,0,Fortis College-Montgomery,1,3,AL,7820,0
14,6,10,1,4,2,1,4906.0,0.1,2,1587,11,0,Vatterott College-Appling Farms,1,3,TN,9468,0
15,32,14,6,11,3,2,5516.0,0.2222,1,5140,11,0,Brown Mackie College-Tulsa,0,3,OK,11227,0
16,8,10,1,3,2,1,4107.0,0.2857,2,5534,13,0,Miller-Motte College-Greenville,1,3,NC,12451,0
17,1,-3,-2,-2,1,1,,,2,4294,12,1,Cardiac and Vascular Institute of Ultrasound,1,3,AL,14682,0
18,33,-3,2,3,2,1,3801.0,,2,4154,11,0,Virginia College-Jacksonville,1,3,FL,15157,0
19,1,-3,-2,-2,1,1,,,3,4626,21,1,Tricoci University of Beauty Culture-Bridgeview,1,3,IL,11535,0
0,1,-3,-2,-2,1,1,,,3,1942,13,1,Center for Massage,1,3,NC,12367,0
1,1,-3,-2,-2,1,1,,,3,4118,22,1,South Texas Training Center,1,3,TX,10840,0
2,1,-3,-2,-2,1,1,,,3,7679,13,1,Advanced Welding Institute,1,3,VT,13103,0
3,1,-3,-2,-2,1,1,,,3,3082,11,1,Paul Mitchell the School-Memphis,1,3,TN,9019,0
4,12,-3,1,4,2,1,4062.0,0.5294,2,2212,21,0,Pima Medical Institute-East Valley,1,3,AZ,6381,0
5,1,-3,-2,-2,1,1,,,3,6010,11,1,Paul Mitchell the School-Columbus,1,3,OH,11753,0
6,7,10,1,3,2,1,3934.0,0.3462,2,4897,11,0,Miller-Motte College-Raleigh,1,3,NC,12527,0
7,3,-3,-2,-2,1,1,,,3,2529,11,0,Lamson Institute,1,3,TX,12805,0
8,2,-3,-2,-2,1,1,,,2,1855,11,0,College of Hair Design-East Campus,1,3,NE,7925,0
9,2,-3,-2,-2,1,1,,,3,2044,12,0,Heritage College-Little Rock,0,3,AR,7389,0
10,5,10,2,4,2,2,4745.0,0.6,2,3413,21,0,MedTech College-Greenwood Campus,0,3,IN,9503,0
11,5,10,1,4,2,2,3958.0,0.375,2,3511,11,0,MedTech College-Ft Wayne Campus,0,3,IN,9777,0
12,5,10,1,4,2,2,3542.0,0.1724,2,4629,41,0,MedTech College-Lexington Campus,0,3,KY,12887,0
13,135,14,6,6,3,2,4874.0,,1,3015,12,0,ITT Technical Institute-Springfield,0,3,MO,21744,0
14,135,14,1,3,2,2,5054.0,0.1538,2,4626,22,0,ITT Technical Institute-Huntington,0,3,WV,18562,0
15,2,10,1,4,2,2,4772.0,,2,7231,21,0,Fortis College-Salt Lake City,1,3,UT,10683,0
16,8,-3,-2,-2,1,1,,,3,1546,13,0,Ross Medical Education Center-Portage,1,3,MI,8618,0
17,80,-3,-2,-2,1,1,,,3,10221,21,0,Regency Beauty Institute-Detroit Lakeside,0,3,MI,13108,0
18,80,-3,-2,-2,1,1,,,3,11481,11,0,Regency Beauty Institute-Arlington,0,3,TX,14724,0
19,80,-3,-2,-2,1,1,,,3,9803,12,0,Regency Beauty Institute-Durham,0,3,NC,12572,0
0,32,10.0,6.0,11.0,3,2,4672.0,0.3265,1,4633.0,13.0,0,Brown Mackie College-Greenville,1,3,SC,9984.0,0
1,10,14.0,6.0,7.0,3,2,3556.0,,1,6425.0,12.0,0,Globe University-Sioux Falls,0,3,SD,20027.0,0
2,5,-3.0,-2.0,-2.0,1,1,,,3,3717.0,21.0,0,Beauty Schools of America-Homestead,1,3,FL,9840.0,0
3,2,-3.0,-2.0,-2.0,1,1,,,3,9518.0,21.0,0,Capri Beauty College,1,3,IL,9871.0,0
4,6,-3.0,-2.0,-2.0,1,1,,,3,1994.0,11.0,0,Milan Institute-Bakersfield,1,3,CA,7269.0,1
5,1,-3.0,-2.0,-2.0,1,1,12133.0,1.0,1,6809.0,12.0,1,Homestead Schools,1,2,CA,18199.0,0
6,4,,,,0,0,,,3,,,0,Career Academy of Hair Design-Siloam Springs,1,3,AR,,0
7,4,,,,0,0,,,3,,,0,Career Academy of Hair Design-Rogers,1,3,AR,,0
8,13,,,,0,0,,,3,,,0,Marinello School of Beauty-Ontario,0,3,CA,,0
9,13,,,,0,0,,,3,,,0,Marinello School of Beauty-San Diego,0,3,CA,,0
10,13,,,,0,0,,,3,,,0,Marinello School of Beauty-West Covina,0,3,CA,,0
11,13,,,,0,0,,,3,,,0,Marinello School of Beauty-West Los Angeles,0,3,CA,,0
12,3,19.0,9.0,5.0,4,3,7917.0,0.5906,1,6530.0,21.0,0,University of South Florida-Sarasota-Manatee,1,1,FL,5608.0,0
13,1,-3.0,-2.0,-2.0,1,1,,,3,1984.0,21.0,1,Champion Institute of Cosmetology,1,3,CA,5393.0,0
14,1,24.0,8.0,11.0,0,3,6276.0,,1,7939.0,21.0,1,Yeshiva College of the Nations Capital,1,2,MD,2416.0,0
15,135,14.0,6.0,6.0,3,2,4846.0,0.1556,1,3971.0,21.0,0,ITT Technical Institute-Madison,0,3,AL,17028.0,0
16,5,-3.0,-2.0,-2.0,2,1,4111.0,,2,2783.0,11.0,0,Le Cordon Bleu College of Culinary Arts-Sacramento,0,3,CA,9177.0,0
17,5,-3.0,-2.0,-2.0,2,1,3842.0,,2,2530.0,21.0,0,Le Cordon Bleu College of Culinary Arts-Seattle,0,3,WA,8969.0,0
18,6,-3.0,-2.0,-2.0,1,1,,,3,1832.0,21.0,0,Ross Medical Education Center-New Baltimore,1,3,MI,9501.0,0
19,7,-3.0,1.0,4.0,2,1,2271.0,0.2973,2,2504.0,21.0,0,Ross College-Sylvania,1,3,OH,13252.0,0
0,28,14,6,5,4,3,5250.0,,1,4351,21,0,Argosy University-Salt Lake City,1,3,UT,11990,0
1,28,30,6,7,3,3,4803.0,0.1837,1,7996,12,0,Argosy University-The Art Institute of California-Silicon Valley,0,3,CA,13820,0
2,18,10,-2,-2,1,1,3416.0,,2,5031,21,0,Remington College-Houston Southeast Campus,1,2,TX,10318,0
3,33,14,6,5,3,2,3535.0,,1,1898,11,0,National American University-Wichita,1,3,KS,14406,0
4,3,-3,1,4,2,1,5860.0,0.3214,2,4926,21,0,Fortis College-Landover,1,3,MD,9412,0
5,4,14,6,10,3,2,2457.0,,1,6718,13,0,CollegeAmerica-Cheyenne,0,2,WY,20765,0
6,18,23,6,5,3,2,6495.0,0.4203,1,4476,21,0,Bryant & Stratton College-Wauwatosa,1,3,WI,15525,0
7,4,30,7,7,3,2,4598.0,0.1538,1,4931,13,0,The Art Institute of Michigan,1,3,MI,11951,0
8,4,-3,-2,-2,1,1,,,3,3724,21,0,Harris School of Business-Hamilton Campus,1,3,NJ,17186,0
9,12,26,6,5,3,3,6011.0,0.2222,1,8876,11,0,Chamberlain College of Nursing-Ohio,1,3,OH,22401,0
10,80,-3,-2,-2,1,1,,,2,5425,12,0,Regency Beauty Institute-Fort Collins,0,3,CO,6957,0
11,80,-3,-2,-2,1,1,,,3,10609,21,0,Regency Beauty Institute-Dayton,0,3,OH,13606,0
12,80,-3,-2,-2,1,1,,,3,8381,11,0,Regency Beauty Institute-Cypresswood,0,3,TX,10749,0
13,80,-3,-2,-2,1,1,,,3,9160,11,0,Regency Beauty Institute-Austin,0,3,TX,11747,0
14,80,-3,-2,-2,1,1,,,3,11403,11,0,Regency Beauty Institute-Mesa,0,3,AZ,14624,0
15,80,-3,-2,-2,1,1,,,3,12699,11,0,Regency Beauty Institute-Nashville,0,3,TN,16286,0
16,8,-3,-2,-2,1,1,,,3,3109,12,0,Milan Institute of Cosmetology-Fairfield,1,3,CA,6799,1
17,8,-3,-2,-2,1,1,,,2,2448,12,0,Milan Institute of Cosmetology-Reno,1,3,NV,6298,1
18,1,10,1,3,2,2,4971.0,0.1579,1,6280,11,1,Institute of Production and Recording,1,3,MN,23739,0
19,1,-3,-2,-2,1,1,,,3,1189,13,1,Coastline Beauty College,1,3,CA,4593,0
0,1,-3.0,-2.0,-2.0,1,1,,,3,5457.0,13.0,1,Academy of Career Training,1,3,FL,7369.0,0
1,1,-3.0,2.0,4.0,2,2,5562.0,0.4355,1,2642.0,11.0,1,Miami Regional University,1,3,FL,9523.0,0
2,1,26.0,18.0,0.0,4,4,13333.0,,1,7702.0,21.0,1,Wolford College,1,3,FL,20596.0,0
3,1,-3.0,-2.0,-2.0,1,1,,,3,6094.0,11.0,1,MyComputerCareer.com-Indianapolis,1,3,IN,21180.0,0
4,1,-3.0,-2.0,-2.0,1,1,,,3,4215.0,21.0,1,Millennium Training Institute,1,3,MA,16081.0,0
5,1,-3.0,-2.0,-2.0,1,1,,,3,1440.0,23.0,1,Lakewood School of Therapeutic Massage,1,3,MI,6198.0,0
6,1,-3.0,-2.0,-2.0,1,1,,,3,2067.0,12.0,1,Academy of Hair Design-Springfield,1,3,MO,3460.0,0
7,1,-3.0,-2.0,-2.0,1,1,,,3,4826.0,21.0,1,Gentle Healing School of Massage,0,3,NJ,17233.0,0
8,1,24.0,6.0,11.0,3,3,4285.0,,1,8757.0,21.0,1,Yeshivas Be'er Yitzchok,1,2,NJ,8169.0,0
9,1,24.0,8.0,10.0,3,3,3657.0,0.5789,1,4838.0,21.0,1,Yeshiva Toras Chaim,1,2,NJ,9511.0,0
10,1,24.0,6.0,11.0,3,3,2523.0,1.0,1,1411.0,11.0,1,Talmudical Seminary of Bobov,1,2,NY,9322.0,0
11,1,-3.0,-2.0,-2.0,1,1,,,3,7650.0,21.0,1,Monroe 2 Orleans BOCES-Center for Workforce Development,1,1,NY,3896.0,0
12,1,-3.0,-2.0,-2.0,1,1,,,3,5229.0,21.0,1,MyComputerCareer.com-Columbus,1,3,OH,19344.0,0
13,1,31.0,18.0,0.0,4,4,11433.0,1.0,1,15077.0,12.0,1,Charleston School of Law,1,3,SC,34923.0,0
14,1,-3.0,-2.0,-2.0,1,1,,,3,3625.0,11.0,1,Paul Mitchell the School-Austin,1,3,TX,9430.0,0
15,2,-3.0,-2.0,-2.0,1,1,,,3,3723.0,32.0,1,Wisconsin Academy,0,3,WI,4973.0,0
16,1,30.0,12.0,5.0,3,2,4525.0,0.2473,1,2121.0,11.0,1,The Art Institute of Pittsburgh-Online Division,1,3,PA,8923.0,0
17,1,-3.0,-2.0,-2.0,1,1,,,3,1967.0,21.0,1,International School of Beauty Inc,1,3,CA,6754.0,0
18,6,,,,0,0,,,1,,,0,Alliant International University-Fresno,1,3,CA,,0
19,6,,,,0,0,,,1,,,0,Alliant International University-San Francisco,1,3,CA,,0
0,13,,,,0,0,,,1,,,0,Davenport University-Flint Location,1,2,MI,,0
1,38,29.0,6.0,11.0,4,3,,,1,6758.0,11.0,0,University of Phoenix-Washington DC,1,3,DC,10085.0,0
2,7,10.0,1.0,4.0,2,1,4538.0,0.44,2,2808.0,21.0,0,Carrington College-Citrus Heights,1,3,CA,13119.0,0
3,80,-3.0,-2.0,-2.0,1,1,,,3,15739.0,21.0,0,Regency Beauty Institute-Greenfield,0,3,WI,20185.0,0
4,1,-3.0,-2.0,-2.0,1,1,,,3,6047.0,33.0,1,Arkansas Beauty College,1,3,AR,15960.0,0
5,28,26.0,6.0,5.0,4,3,5846.0,0.186,1,3750.0,11.0,0,Argosy University-Nashville,1,3,TN,13519.0,0
6,7,10.0,2.0,4.0,2,1,4183.0,0.4375,2,2077.0,11.0,0,Carrington College-Stockton,1,3,CA,12792.0,0
7,7,-3.0,-2.0,-2.0,1,1,,,3,3732.0,21.0,0,Paul Mitchell the School-Tampa,1,3,FL,9466.0,0
8,32,30.0,6.0,7.0,3,3,4765.0,,1,5830.0,21.0,0,The Art Institute of Salt Lake City,1,3,UT,10694.0,0
9,5,10.0,2.0,4.0,2,1,4776.0,1.0,2,5118.0,21.0,0,Fortis College-Columbus,1,3,OH,10084.0,0
10,3,-3.0,-2.0,-2.0,1,1,,,2,3186.0,21.0,0,Fortis Institute-Baltimore,1,3,MD,7915.0,0
11,28,30.0,6.0,7.0,3,3,5228.0,0.2429,1,5021.0,11.0,0,Argosy University-The Art Institute of California-Sacramento,1,3,CA,12335.0,0
12,8,-3.0,-2.0,-2.0,1,1,,,3,1433.0,13.0,0,Blue Cliff College-Fayetteville,1,3,AR,7745.0,0
13,135,14.0,6.0,6.0,3,2,5142.0,0.2963,1,7193.0,11.0,0,ITT Technical Institute-Wichita,0,3,KS,23721.0,0
14,2,-3.0,-2.0,-2.0,1,1,,,2,14995.0,21.0,0,Brown Aveda Institute-Rocky River,1,3,OH,11325.0,0
15,1,13.0,6.0,5.0,4,3,,,1,1308.0,12.0,1,Huntsville Bible College,1,2,AL,1277.0,0
16,1,-3.0,-2.0,-2.0,1,1,,,3,4125.0,21.0,1,Beaumont Adult School,1,1,CA,6638.0,0
17,1,-3.0,-2.0,-2.0,1,1,,,2,2749.0,11.0,1,Gnomon School of Visual Effects,1,3,CA,10219.0,0
18,2,-3.0,-2.0,-2.0,1,1,,,3,1904.0,21.0,1,Coachella Valley Beauty College,1,3,CA,4654.0,0
19,1,-3.0,-2.0,-2.0,1,1,3889.0,,2,7041.0,11.0,1,Valley College of Medical Careers,1,3,CA,15866.0,0
0,1,-3,1,2,2,1,3000.0,,2,3796,13,1,Academy of Natural Therapy Inc,1,3,CO,18054,0
1,1,-3,-2,-2,1,1,,,3,1760,21,1,Academy Di Capelli-School of Cosmetology,1,3,CT,9852,0
2,1,-3,-2,-2,1,1,,,3,4576,32,1,Delaware Learning Institute of Cosmetology,1,3,DE,3433,0
3,1,24,8,10,3,3,3953.0,,1,2839,13,1,Bais Medrash Toras Chesed,1,2,NJ,4467,0
4,1,-3,-2,-2,1,1,,,3,4286,11,1,New Age Training,1,3,NY,13550,0
5,1,-3,-2,-2,1,1,,,3,4427,21,1,Northcoast Medical Training Academy,1,3,OH,11724,0
6,1,-3,-2,-2,1,1,,,3,16735,11,1,American Institute of Medical Technology,1,3,OK,13685,1
7,1,30,8,11,3,3,3711.0,0.3636,1,10313,11,1,Visible Music College,1,2,TN,18356,0
8,1,22,6,11,4,3,6835.0,1.0,1,11592,21,1,University of the West,1,2,CA,9514,0
9,16,22,6,7,4,3,6526.0,0.2791,1,8422,11,0,South University-Tampa,1,3,FL,18720,0
10,1,24,6,5,4,3,3586.0,,1,4011,11,1,World Mission University,1,2,CA,7764,0
11,1,2,3,2,2,1,4475.0,0.4853,2,3935,12,1,South Louisiana Community College,1,1,LA,1785,0
12,1,-3,-2,-2,1,1,,,3,17736,13,1,Platt Technical High School,1,1,CT,540,0
13,1,-3,-2,-2,1,1,,,3,7165,21,1,EINE Inc,1,3,MA,7508,0
14,1,-3,-2,-2,1,1,,,3,3960,21,1,Pinnacle Institute of Cosmetology,1,3,NC,11028,0
15,1,-3,-2,-2,1,1,,,3,2690,11,1,East West College of the Healing Arts,1,3,OR,17160,0
16,1,10,1,3,2,1,1551.0,,2,2421,21,1,National Institute of Massotherapy,0,3,OH,5251,0
17,38,22,6,11,3,3,,,1,4793,12,0,University of Phoenix-New Jersey,1,3,NJ,8812,0
18,4,-3,-2,-2,1,1,,,3,3159,11,0,North-West College-Riverside,1,3,CA,10424,0
19,1,-3,-2,-2,1,1,,,3,2606,21,1,Colegio Tecnico de Electricidad Galloza,1,3,PR,6470,0
0,2,-3,-2,-2,1,1,,,3,4747,13,0,Arthur's Beauty School Inc-Conway,1,3,AR,9416,0
1,12,10,1,4,2,1,5721.0,0.2286,2,2417,13,0,Vatterott College-St Charles,1,3,MO,10550,0
2,33,10,1,3,2,1,3614.0,,2,4642,12,0,Virginia College-Mobile,1,3,AL,15409,0
3,80,-3,-2,-2,1,1,,,3,6814,21,0,Regency Beauty Institute-Maplewood,0,3,MN,8739,0
4,1,22,9,7,4,3,4881.0,1.0,1,2344,32,1,Central Methodist University-College of Graduate and Extended Studies,1,2,MO,3887,0
5,1,-3,-2,-2,1,1,,,3,6477,31,1,LeGrand Institute of Cosmetology Inc,1,3,SC,4891,0
6,9,-3,-2,-2,1,1,,,3,1250,11,0,Everest Institute-Detroit,0,2,MI,4827,0
7,4,10,6,11,3,2,3303.0,,1,5263,12,0,Daymar College-Murfreesboro,1,3,TN,12789,0
8,1,25,18,0,4,4,,,1,19424,13,1,Edward Via College of Osteopathic Medicine,1,2,VA,40023,0
9,3,-3,-2,-2,1,1,,,3,6130,21,0,Branford Hall Career Institute-North Brunswick,1,3,NJ,26909,0
10,4,10,1,4,2,1,3540.0,,2,1919,11,0,Brightwood College-Fort Worth,1,3,TX,7980,0
11,2,24,18,0,4,4,7717.0,,1,8635,21,1,Franciscan School of Theology,1,2,CA,4308,0
12,1,-3,-2,-2,1,1,,,3,2762,21,1,ATI College-Norwalk,1,3,CA,14872,0
13,1,-3,-2,-2,1,1,11533.0,,2,2040,21,1,Advance Science Institute,1,3,FL,2494,0
14,1,-3,-2,-2,1,1,,,3,2743,21,1,The Beauty Institute,1,3,FL,7142,0
15,1,-3,-2,-2,1,1,,,2,7691,22,1,Bellefonte Academy of Beauty,0,3,KY,6510,0
16,1,-3,-2,-2,1,1,,,3,6452,12,1,Blue Cliff Career College,1,3,AL,13006,0
17,1,-3,-2,-2,1,1,,,3,3351,13,1,Paul Mitchell the School-Gastonia,1,3,NC,10153,0
18,1,-3,-2,-2,1,1,,,3,1007,21,1,Computer Tutor Business and Technical Institute,1,3,CA,6822,0
19,1,10,-2,-2,1,1,,,2,2568,12,1,Mid City College,1,3,LA,7224,1
0,2,-3.0,-2.0,-2.0,1,1,,,2,3757.0,32.0,1,Paul Mitchell the School-Monroe,0,3,WI,9681.0,0
1,1,-3.0,-2.0,-2.0,1,1,,,3,1215.0,21.0,1,Orion Institute,1,3,OH,6409.0,0
2,1,-3.0,-2.0,-2.0,1,1,,,3,2662.0,21.0,1,Institute of Beauty Occupation and Technology Course,1,3,PR,3649.0,0
3,1,26.0,18.0,0.0,4,4,,,1,3787.0,11.0,1,Institute of Clinical Acupuncture & Oriental Med,1,3,HI,10839.0,0
4,1,-3.0,1.0,4.0,2,1,4108.0,,2,4554.0,21.0,1,MedTech Institute-Atlanta Campus,1,3,GA,12226.0,0
5,1,-3.0,6.0,10.0,2,2,5411.0,0.4194,1,5554.0,13.0,1,Nightingale College,1,3,UT,20731.0,0
6,2,10.0,1.0,2.0,1,1,4244.0,,2,5133.0,21.0,0,Centura College-Columbia,1,3,SC,6788.0,0
7,135,28.0,6.0,6.0,3,2,4181.0,,1,2809.0,13.0,0,ITT Technical Institute-Eden Prairie,0,3,MN,18355.0,0
8,2,,,,0,0,,,2,,,0,Casa Loma College-Anaheim Campus,0,2,CA,,0
9,2,,,,0,0,,,1,,,0,Mount Saint Mary's University - Doheny Campus,1,2,CA,,0
10,8,,,,0,0,,,3,,,0,Porter and Chester Institute of Enfield,1,3,CT,,0
11,17,,,,0,0,,,1,,,0,Keiser University- Miami,1,2,FL,,0
12,17,,,,0,0,,,1,,,0,Keiser University-Orlando,1,2,FL,,0
13,6,,,,0,0,,,3,,,0,PJ's College of Cosmetology- Muncie,1,3,IN,,0
14,6,,,,0,0,,,3,,,0,PJ's College of Cosmetology- Indianapolis,1,3,IN,,0
15,6,,,,0,0,,,3,,,0,PJ's College of Cosmetology- Plainfield,1,3,IN,,0
16,13,,,,0,0,,,1,,,0,Davenport University-Lansing Location,1,2,MI,,0
17,4,-3.0,-2.0,-2.0,1,1,,,3,10540.0,21.0,0,Spa Tech Institute-Ipswich,1,3,MA,13938.0,0
18,4,-3.0,-2.0,-2.0,1,1,,,3,8247.0,21.0,0,Spa Tech Institute-Westboro,1,3,MA,10905.0,0
19,4,,,,0,0,,,1,,,0,Troy University-Phenix City Campus,1,1,AL,,0
0,3,,,,0,0,,,3,,,0,Southwest School of Business and Technical Careers-South Texas,1,3,TX,,0
1,5,,,,0,0,,,2,,,0,Southeastern College-Miami Lakes,1,3,FL,,0
2,2,,,,0,0,,,2,,,0,Ridgewater College,1,1,MN,,0
3,3,,,,0,0,,,1,,,0,Culinary Institute of America at Greystone,1,2,CA,,0
4,6,,,,0,0,,,1,,,0,Florida Center,1,2,FL,,0
5,6,,,,0,0,,,1,,,0,Montpelier Center - Closed July 2013,0,2,VT,,0
6,2,,,,0,0,,,3,,,0,Toni&Guy Hairdressing Academy,1,3,PA,,0
7,3,,,,0,0,,,2,,,0,San Jacinto College-North Campus,1,1,TX,,0
8,2,,,,0,0,,,2,,,0,Central Lakes College-Staples Campus,1,1,MN,,0
9,4,,,,0,0,,,2,,,0,M State - Moorhead Campus,1,1,MN,,0
10,2,,,,0,0,,,2,,,0,South Central College-Faribault,1,1,MN,,0
11,13,,,,0,0,,,1,,,0,Davenport University-Holland Location,1,2,MI,,0
12,2,-3.0,1.0,3.0,2,1,4495.0,0.68,2,2666.0,12.0,1,Ultimate Medical Academy-Clearwater,1,2,FL,11342.0,0
13,1,24.0,6.0,10.0,4,3,3458.0,,1,2427.0,12.0,1,Apex School of Theology,1,2,NC,6.0,0
14,1,31.0,18.0,0.0,4,4,7465.0,0.6857,1,12246.0,21.0,1,Ave Maria School of Law,1,2,FL,28716.0,0
15,2,-3.0,-2.0,-2.0,1,1,,,3,2827.0,21.0,1,Milan Institute-Palm Desert,1,3,CA,8829.0,1
16,33,23.0,6.0,5.0,3,3,6415.0,0.2,1,4515.0,12.0,0,National American University-Overland Park,1,3,KS,15662.0,0
17,6,-3.0,2.0,4.0,2,1,5898.0,0.3462,2,6412.0,11.0,0,Carrington College-Albuquerque,1,3,NM,14882.0,0
18,3,-3.0,-2.0,-2.0,1,1,,,3,1240.0,21.0,0,Everest Institute-Tigard,1,2,OR,4028.0,0
19,3,-3.0,-2.0,-2.0,1,1,,,3,2442.0,21.0,1,Fayette Beauty Academy,0,3,GA,2442.0,0
0,1,26,-2,-2,4,4,,,1,9331,13,1,NorthShore University HealthSystem School of Nurse Anesthesia,1,2,IL,13314,0
1,1,24,7,11,3,3,667.0,,1,3045,42,1,Family of Faith Christian University,1,2,OK,1125,0
2,1,24,18,0,4,4,5350.0,0.4706,1,7369,22,1,Hood Theological Seminary,1,2,NC,11364,0
3,2,-3,-2,-2,1,1,,,3,1070,21,0,PC AGE-Metropark,1,3,NJ,6184,0
4,1,-3,-2,-2,1,1,,,3,2008,11,1,South Florida Institute of Technology,1,3,FL,1074,0
5,1,-3,-2,-2,1,1,,,3,2789,13,1,Southeastern Institute-Charleston,1,3,SC,9165,0
6,1,10,1,3,2,1,4565.0,0.3208,2,3590,11,1,Southeastern College-Jacksonville,0,3,FL,12556,0
7,5,26,9,11,4,3,8270.0,0.3554,1,8939,11,1,West Coast University-Los Angeles,1,3,CA,29643,0
8,1,24,6,11,3,3,1083.0,,1,3077,13,1,Williamson Christian College,1,2,TN,10048,0
9,1,-3,-2,-2,1,1,,,3,6393,11,1,Music City Barber College,0,3,TN,15507,1
10,3,-3,-2,-2,1,1,,,3,2562,22,0,Connecticut Center for Massage Therapy-Groton,1,3,CT,8158,0
11,7,-3,-2,-2,1,1,,,3,5210,21,0,Paul Mitchell the School-Rhode Island,1,3,RI,10038,0
12,11,-3,-2,-2,1,1,,,3,11567,13,1,Empire Beauty School-Framingham,1,3,MA,9567,0
13,79,-3,6,5,4,3,6449.0,0.1043,1,2411,21,0,Strayer University-Pennsylvania,1,3,PA,16086,0
14,2,-3,-2,-2,1,1,,,3,3139,13,0,PCI Academy-Plymouth,1,3,MN,5552,0
15,5,23,9,5,3,2,3161.0,0.188,1,1877,21,0,National University College-Rio Grande,1,3,PR,812,0
16,1,10,2,4,2,1,2083.0,,2,1632,12,1,Southwest Institute of Healing Arts,1,3,AZ,9124,0
17,5,29,6,5,4,3,,,1,1024,21,0,Ottawa University-Jeffersonville,0,2,IN,3682,0
18,9,23,9,10,4,2,3333.0,0.9816,1,496,11,1,Dewey University-Hato Rey,1,2,PR,289,0
19,8,-3,-2,-2,2,1,3727.0,,2,1999,21,0,InterCoast Colleges-West Covina,1,3,CA,10647,0
0,3,10,2,3,2,1,3950.0,,2,8389,11,0,Everest College-Dallas,0,2,TX,15944,0
1,8,-3,-2,-2,1,1,,,3,4207,21,0,The Salter School-Malden Campus,1,3,MA,12272,0
2,1,10,1,4,2,1,5069.0,0.1154,2,2515,21,1,Chester Career College,1,3,VA,3845,0
3,1,-3,-2,-2,1,1,,,3,4638,12,1,Healing Mountain Massage School,1,3,UT,9178,0
4,33,10,1,3,2,1,2917.0,,2,4348,12,0,Virginia College-Jackson,1,3,MS,14162,0
5,1,26,18,0,4,4,5734.0,0.5,1,6038,12,1,Richmont Graduate University,1,2,TN,14260,0
6,15,10,1,2,2,2,,,2,4582,21,0,Miami-Jacobs Career College-Sharonville,0,3,OH,14824,0
7,8,10,1,3,2,1,3736.0,0.3265,2,4303,13,0,Miller-Motte Technical College-Charleston,1,3,SC,12780,0
8,3,-3,-2,-2,1,1,,,3,689,11,0,Everest Institute-Hobby,1,2,TX,4436,0
